Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
F1,0ZCH0050FF2G,1
J1,10118194-0001LF,1
Q1,2N7002TQ-7-F,1
U2,ATSAMD21G18A-AUT,1
"C3,C9",CC0603KRX5R8BB105,2
"C6,C8,C10,C11,C12",CC0603KRX7R9BB104,5
C1,CC0603KRX7R9BB472,1
"C2,C7",CC0603MRX5R5BB106,2
"VR1,VR2",CG0603MLC-05E,2
X1,ECS-.327-12.534B-TR,1
"C4,C5",GCM1885C1H150JA16D,2
U1,LP2985-33DBVR,1
D1,LTST-C170KGKT,1
D4,LTST-C170KRKT,1
D2,LTST-C170KSKT,1
D3,LTST-C170TBKT,1
L1,MLF1608E100JT000,1
R2,RC0603FR-071ML,1
"R1,R3,R4,R5,R6,R8",RC0603FR-07330RL,6
R7,RC0603JR-0710KL,1
S1,SKQMASE010,1
